#
# Sunnyvale Tactical Call List
# updated/revised: 23-Apr-2012 by B Gundrum
#
LOSESD	Los Altos	Elementary School District Office
LOSHS1	Los Altos	High School
LOSLOG	Los Altos	ICS Logistics @ Recreation Department
LOSPKT  Los Altos       Monday Night Packet Check-ins (local)
#
# Tactical calls for reporting zones.  Notice the "Z" in the 4th position.
LOSZ01  Los Altos       Zone 1 EIRS station
LOSZ02  Los Altos       Zone 2 EIRS Station
LOSZ03  Los Altos       Zone 3 EIRS station
LOSZ04  Los Altos       Zone 4 EIRS Station
LOSZ05  Los Altos       Zone 5 EIRS station
LOSZ06  Los Altos       Zone 6 EIRS Station
LOSZ07  Los Altos       Zone 7 EIRS station
LOSZ08  Los Altos       Zone 8 EIRS Station
LOSZ09  Los Altos       Zone 9 EIRS station
LOSZ10  Los Altos       Zone 10 EIRS Station
LOSZ11  Los Altos       Zone 11 EIRS station
LOSZ12  Los Altos       Zone 12 EIRS Station
LOSZ13  Los Altos       Zone 13 EIRS station
LOSZ14  Los Altos       Zone 14 EIRS Station
#
# And the 10 ad hoc/general purpose calls of LOS001 - LOS010
#
LAHARK Los Altos Hills ARK
# Santa Clara County ARES/RACES Data Network Tactical Call List
# Updated/Revised: 01-Sep-2016 by Michael Fox, N6MEF

# IMPORTANT:  Post a copy of this file in your radio room and retain a copy on
# your packet computer.  The suggested location is the Outpost Archive folder.

# Santa Clara County OES
#XSCEOC SCCo Emergency Operations Center   55 W Younger Ave, San Jose

# Santa Clara County ARES/RACES/ACS
XSCRCT  SCCo RACES Communications Trailer

# Santa Clara County Communications
XSCCCC  SCCo Communications Center         2700 Carol Dr, San Jose
XSCCIT  SCCo Communications Interoperability Trailer

# Santa Clara County Fire Department
XSCFHQ  SCCo Fire Headquarters             14700 Winchester Blvd, Los Gatos
XSCF70  SCCo Fire Station 70 (expansion)
XSCF71  SCCo Fire Station 71 (Cupertino)   20215 Stevens Creek Blvd, Cupertino
XSCF72  SCCo Fire Station 72 (Seven Springs) 21000 Seven Springs Pkwy, Cupertino
XSCF73  SCCo Fire Station 73 (Saratoga)    14380 Saratoga Ave, Saratoga
XSCF74  SCCo Fire Station 74 (El Monte)    12355 El Monte Rd, Los Altos Hills
XSCF75  SCCo Fire Station 75 (Los Altos)   10 Almond Ave, Los Altos
XSCF76  SCCo Fire Station 76 (Loyola)      765 Fremont Ave, Los Altos
XSCF77  SCCo Fire Station 77 (Monta Vista) 22620 Stevens Creek Blvd, Cupertino
XSCF78  SCCo Fire Station 78 (Quito)       8870 Saratoga/Los Gatos Rd, Los Gatos
XSCF79  SCCo Fire Station 79 (West Valley) 19800 Cox Ave, Saratoga
XSCF80  SCCo Fire Station 80 (Sunnyoaks)   485 West Sunnyoaks Ave, Campbell
XSCF81  SCCo Fire Station 81 (Campbell)    123 Union Ave, Campbell
XSCF82  SCCo Fire Station 82 (Shannon)     16565 Shannon Rd, Los Gatos
XSCF83  SCCo Fire Station 83 (Los Gatos)   306 University Ave, Los Gatos
XSCF84  SCCo Fire Station 84 (Redwood)     21452 Madrone Dr, Redwood Estates
XSCF85  SCCo Fire Station 85 (Winchester)  14850 Winchester Blvd, Los Gatos  

# Santa Clara County Airports
XSCARH  Reid-Hillview Airport - San Jose     2500 Cunningham Ave, San Jose
XSCAPA  Palo Alto Airport     - Palo Alto    1925 Embarcadero Rd, Palo Alto
XSCASC  South County Airport  - San Martin   13030 Murphy Ave, San Martin

# Santa Clara County Libraries
XSCLCA  SCCo Library - Campbell       77 Harrison Ave, Campbell
XSCLCU  SCCo Library - Cupertino      10800 Torre Ave, Cupertino
XSCLGI  SCCo Library - Gilroy         350 W. Sixth Street, Gilroy
XSCLLA  SCCo Library - Los Altos      13 S. San Antonio Rd, Los Altos
XSCLMI  SCCo Library - Milpitas       160 North Main Street, Milpitas
XSCLMH  SCCo Library - Morgan Hill    660 West Main Ave, Morgan Hill
XSCLSA  SCCo Library - Saratoga       13650 Saratoga Ave, Saratoga
XSCLWL  SCCo Library - Woodland       1975 Grant Road, Los Altos

# Santa Clara County Parks
XSCPAQ  SCCo Park - Almaden Quicksilver      21785 Alamden Rd, San Jose
XSCPAV  SCCo Park - Alviso Marina            1195 Hope Street, San Jose
XSCPAL  SCCo Park - Anderson Lake            19245 Malaguerra Ave, Morgan Hill
XSCPCL  SCCo Park - Calero                   23205 McKean Rd, San Jose
XSCPCR  SCCo Park - Chesbro Reservoir        17655 Oak Glen Ave, Morgan Hill
XSCPCA  SCCo Park - Chitactac-Adams          10001 Watsonville Rd, Gilroy
XSCPCC  SCCo Park - Coyote Creek Parkway     (See Hellyer or Anderson Lake) 
XSCPCH  SCCo Park - Coyote Lake-Harvey Bear Ranch  10840 Coyote Res. Rd, Gilroy
XSCPEL  SCCo Park - Ed R. Levin              3100 Calaveras Rd, Milpitas
XSCPFS  SCCo Park - Field Sports             9580 Malech Rd, San Jose
XSCPHL  SCCo Park - Hellyer                  985 Hellyer Ave, San Jose
XSCPJG  SCCo Park - Joseph D. Grant          18405 Mt Hamilton Rd, San Jose
XSCPLR  SCCo Park - Lexington Reservoir      17770 Alma Bridge Rd, Los Gatos
XSCPLG  SCCo Park - Los Gatos Creek          1250 Dell Ave, Campbell
XSCPMC  SCCo Park - Martial Cottle           5283 Snell Ave, San Jose
XSCPMO  SCCo Park - Motorcycle               300 Metcalf Rd, San Jose
XSCPMM  SCCo Park - Mount Madonna            7850 Pole Line Rd, Watsonville
